1,uoklyqqfyousk,24,2,6608.044
2,satcomkkvyt,31,1,4449.7314
3,lzmzokbyvoizy,59,5,4052.5144
4,qqolwffjfj,13,6,8036.7446
5,xzcyzktvolhqckew,34,4,5194.3696
6,pqeeuovtnoiultvu,59,7,2679.1743
7,pgqtcsjmpfnjuvs,11,5,8674.459
8,emhlfknxrem,64,6,3860.6865
9,peqaiasmio,44,5,3892.737
10,miscbtqodgwfynikha,33,9,4322.2393
11,ltwdhpmrpwlrxxmew,47,3,324.0934
12,uncqhtqezkgg,47,1,5828.9697
13,cnqwgtwponkifshl,40,2,5436.061
14,pqvyjefxnm,48,5,1084.2847
15,yywgilgiem,54,5,4436.291
16,bzghqcqkebrzk,22,9,5956.497
17,jsewiflgqtjztsk,57,5,5558.9526
18,gushqveaaeo,27,5,3553.8389
19,vjlxszimjpyi,64,2,9172.585
20,kftahbvnfi,16,8,6232.911
21,nzibmhvzoekl,44,8,6255.9146
22,rakbkkgfhmjz,57,2,9245.155
23,safngfjipbjlptmpyzo,10,2,2547.601
24,xfulejziwfyphc,23,7,8355.073
25,navkctxbbdknuewqlhh,58,4,8138.9897
26,itdkmnlkmmagcs,56,5,1516.2896
27,grcvsrhrqnry,48,1,638.12244
28,ovdpnprhfjk,33,4,6676.4414
29,szyzgcsuft,69,5,9987.214
30,lkwtfcvzgrdoa,19,5,3587.3662
31,xmgxhfujrwahsiqnobb,63,2,8476.659
32,osslcdoxmhenmhzusgz,37,5,6925.8906
33,eagrhqwbvsoapj,23,6,5023.664
34,xihskucxbrduvcxmitb,46,2,977.2242
35,inonkoehnc,57,7,1595.1316
36,xaxkhyjikvtwwtau,66,6,1621.863
37,oftsqykvgefiyprtdjg,32,5,4160.3506
38,wxuvvelmrpziim,30,5,3161.5537
39,yqnsgixsxryfbkzuo,69,3,3584.3137
40,exuesreadcanowlssd,68,2,1548.8771
41,pzdacspcgqp,41,2,842.7737
42,pfcdovlrwik,60,6,5432.725
43,fdcmybgjcpmskz,47,2,413.13974
44,hhtvcqvpqa,42,6,8471.258
45,stsqmekdmawnzcyxto,21,3,2421.665
46,eeilcxzsoudumc,68,9,5998.285
47,mmuntdmgemswv,28,8,8340.589
48,nljowarzki,49,2,5318.2896
49,mvfmralmlsenkna,35,3,6637.232
50,qoteqdprfrknso,61,7,1266.8384
51,rqaatzuzynklqsbskzd,27,7,8884.59
52,ohounlteudfymqle,42,5,5378.8926
53,czovsygguspajavgvn,11,9,2255.849
54,aeghlxxtjouwsbjryx,53,3,2063.1157
55,opensupqzvr,58,9,9384.016
56,abqskadmxvujd,14,4,3256.0059
57,cluocjryhhiqqbc,12,1,8631.455
58,pxjmzdiwsxwh,42,7,859.79944
59,mtjzwneroxwyiitxv,33,9,2984.211
60,qgsxfimvzcpmyxs,30,6,4571.7573
61,ktharuqmcb,42,9,2174.0225
62,exibsurstmbotascfb,14,9,6846.7017
63,ncgtpblzoraasg,29,1,4091.3315
64,iaichwniro,32,3,1900.8103
65,teyiepyvghr,53,8,5442.3335
66,vqindgmmfaplttohjb,25,3,5114.964
67,gtsimwjuuufdpmb,12,2,7784.0635
68,zjeqnbeasfshwxcgkxh,38,7,5981.2754
69,cvtzptdfxkwrvxmyz,49,5,3983.2886
70,rjqpalfcjsj,46,2,302.213
71,iuysxodpxnsafdqlke,49,4,9774.533
72,axscpfyedfat,33,9,5157.123
73,pykujararxapskkdio,15,1,927.2238
74,rognlkjxxfjldp,24,1,9171.217
75,usbqlkytzkym,56,8,7679.2603
76,flsqgxpmmkgodvgejgh,48,9,5550.031
77,odqnsehqok,65,5,8994.295
78,icjtpvxpiwfa,14,7,5933.455
79,khprrsnadezplcpjd,17,5,2514.7368
